"Liver.Cell.Group","Gene","Log2FC.infected.vs.uninfected"
"347","NK, NKT and T-cells","CD8A",1.401736295
"348","NK, NKT and T-cells","CD44",1.371223193
"349","NK, NKT and T-cells","CD247",1.359906471
"350","NK, NKT and T-cells","TGFBR2",1.336305934
"351","NK, NKT and T-cells","CD37",1.19384749
"352","NK, NKT and T-cells","CD244",1.173103151
"353","NK, NKT and T-cells","IRF1",1.126711152
"354","NK, NKT and T-cells","CD96",1.047819818
"355","NK, NKT and T-cells","FYN",0.956991487
"356","NK, NKT and T-cells","SOCS1",0.954162806
"357","NK, NKT and T-cells","CD27",0.948357737
"358","NK, NKT and T-cells","FAM177A1",-2.082623095
"359","NK, NKT and T-cells","GPCPD1",-2.046164042
"360","NK, NKT and T-cells","PHF20",-1.911943571
"361","NK, NKT and T-cells","DDX24",-1.777770096
"362","NK, NKT and T-cells","TNRC6C",-1.775747804
"363","NK, NKT and T-cells","KDM5A",-1.553982612
"364","NK, NKT and T-cells","CHD2",-1.314825085
"365","NK, NKT and T-cells","ARID5B",-1.307785222
"366","NK, NKT and T-cells","MED1",-1.290708585
"367","NK, NKT and T-cells","CHD7",-1.241224528
