"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:325"	"GO:325"	"MEF2A_K562_HG19"	"29/1839"	"168/12202"	0.240891984945264	0.593416840962724	0.507141020937398	"301/2113/2406/5547/5690/8568/10971/11490/13892/14127/14501/14697/16539/17939/18275/19275/19521/19856/21094/21419/23476/23775/24789/25239/26672/28817/29239/29669/32300"	29
"GO:381"	"GO:381"	"NR3C1_HEPG2_HG19"	"25/1839"	"145/12202"	0.262936485065778	0.63229964265818	0.540370721187814	"3629/3799/13716/13772/14127/14619/15065/15149/19081/19758/20293/20491/21224/21284/23476/23507/24490/25352/26526/26902/30349/30939/31382/31630/31674"	25
"GO:1"	"GO:1"	"AFF1"	"50/1839"	"306/12202"	0.287840332973971	0.662831956602512	0.566463996262699	"792/1402/2290/2551/3201/3202/3629/4636/4750/5333/6214/6372/6530/6635/6652/6659/7115/8988/10399/11469/11757/12295/12532/12969/14398/14670/14949/15749/16821/16836/17197/17858/17864/18428/23243/23382/23507/24468/24789/24979/25146/25913/26239/26242/27037/27371/27868/29411/31511/31939"	50
"GO:44"	"GO:44"	"CNPPD1"	"47/1839"	"288/12202"	0.298306939716862	0.662831956602512	0.566463996262699	"7/792/1076/1497/1733/2401/2551/3496/6539/7115/8047/8632/12306/12969/12984/13093/13175/14513/14631/15078/15090/15635/16674/16836/17197/17626/17810/18076/18082/20070/20095/21718/22438/22780/22938/23243/23382/24027/24468/24979/25321/25829/26088/27436/27868/28848/31336"	47
"GO:243"	"GO:243"	"GATA1_K562_HG19"	"70/1839"	"437/12202"	0.306268130681466	0.662831956602512	0.566463996262699	"74/151/1163/1421/1522/2652/3254/3338/3822/4515/5018/6432/6539/6652/6704/7171/8109/8111/8632/8704/8996/9136/10019/10525/11004/11314/12107/12193/12759/13941/13945/14421/14905/16674/16732/17476/18632/19117/19277/19521/19856/20294/21236/21244/21293/21348/21398/21542/23197/23212/24549/24952/25239/26143/26224/26234/26463/26526/26832/28498/28848/29027/29661/30334/31694/31912/32099/32217/32300/32383"	70
"GO:217"	"GO:217"	"FOSL2_MCF7_HG19"	"34/1839"	"206/12202"	0.309023186360475	0.662831956602512	0.566463996262699	"261/600/792/1522/2585/3202/7825/8104/8109/8677/10524/11491/13814/13832/13928/14228/17266/19115/19215/19277/19949/20188/20421/20773/21818/22502/23212/23830/24675/25058/25871/26247/28848/30394"	34
"GO:244"	"GO:244"	"GATA1_MEGAKARYOCYTE_MM9"	"68/1839"	"425/12202"	0.313064778601385	0.662831956602512	0.566463996262699	"66/151/261/403/1363/2551/3799/5337/5860/7060/7286/7381/7801/8109/9722/9802/9917/10067/11003/11182/11314/11912/12107/13092/13093/13509/13996/14599/14867/16720/17014/17197/17594/18928/19175/19521/20083/20084/20184/21041/21244/21294/22938/23243/23358/23487/23633/23786/23991/24027/24028/24948/25149/25451/25829/26463/26665/27165/27285/27724/27868/28006/28782/28848/30334/31623/32300/32383"	68
"GO:507"	"GO:507"	"TEAD4_A549_HG19"	"42/1839"	"258/12202"	0.317234964500532	0.662831956602512	0.566463996262699	"1395/2585/2831/3986/7311/8203/9834/11007/11182/11588/12968/13425/13814/13832/13958/14127/14186/14670/16326/16821/17583/18140/19277/20092/20491/21677/22502/23243/24429/24675/24689/24789/25058/25732/26463/27365/27752/28578/28688/28779/29629/29631"	42
"GO:27"	"GO:27"	"CACNG7"	"25/1839"	"150/12202"	0.324319522134622	0.662831956602512	0.566463996262699	"1076/1763/5286/6539/7115/8455/9777/10119/10257/12387/15090/15748/16836/17864/18076/19708/21718/22474/24027/25783/27482/30695/31092/32746/33326"	25
"GO:13"	"GO:13"	"ATG16L1"	"11/1839"	"62/12202"	0.328134631981442	0.662831956602512	0.566463996262699	"763/11703/12295/15090/17303/23376/24637/24789/25783/26832/26840"	11
